City_ID,City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,jaen,38.0,66.69,51,100,5.79,ES,1603236910
140,touros,-5.2,77.0,83,20,3.36,BR,1603236912
141,puerto ayora,-0.74,69.01,92,78,7.0,EC,1603236856
142,muncar,-8.43,81.7,77,23,5.17,ID,1603236991
143,lianzhou,24.78,62.35,75,48,6.08,CN,1603236991
144,boone,39.03,51.8,87,90,6.93,US,1603236949
145,yumen,40.28,41.63,52,0,7.83,CN,1603236933
146,saint-denis,48.92,55.99,100,90,8.05,FR,1603236992
147,ankazoabo,-22.28,69.17,42,0,6.24,MG,1603236992
148,fortuna,40.6,66.99,59,1,18.34,US,1603236739
149,maniitsoq,65.42,33.42,89,100,19.55,GL,1603236939
150,ternate,0.8,83.17,68,32,5.46,ID,1603236992
151,sorong,-0.88,80.6,78,54,5.64,ID,1603236780
152,hithadhoo,-0.6,81.79,81,79,14.52,MV,1603236856
153,bardsir,29.92,35.6,17,0,6.93,IR,1603236993
154,ilulissat,69.22,35.6,80,100,11.41,GL,1603236715
155,ostrovnoy,68.05,36.88,80,100,13.8,RU,1603236860
156,tura,25.52,71.44,92,0,2.82,IN,1603236993
157,katherine,-14.47,87.8,58,0,10.29,AU,1603236993
158,saint george,37.1,87.01,9,1,5.82,US,1603236580
159,saint-georges,12.06,84.2,79,13,17.22,GD,1603236897
160,burgeo,47.62,54.46,93,94,14.94,CA,1603236994
161,urgut,39.4,51.8,42,0,4.7,UZ,1603236994
162,castro,-24.79,65.82,83,68,3.62,BR,1603236597
163,pevek,69.7,30.83,95,99,17.27,RU,1603236745
164,totness,5.88,81.82,79,86,12.5,SR,1603236994
165,port lincoln,-34.73,61.77,72,12,13.15,AU,1603236722
166,hami,42.8,45.1,51,0,4.23,CN,1603236719
167,mahur,25.17,66.61,99,43,0.92,IN,1603236995
168,mitsamiouli,-11.38,78.58,72,0,2.26,KM,1603236843
169,takhtamygda,54.1,30.76,95,100,11.16,RU,1603236995
170,richards bay,-28.78,67.42,73,88,9.13,ZA,1603236778
171,kroya,-7.63,79.23,84,98,0.51,ID,1603236995
172,sambava,-14.27,74.62,83,100,14.83,MG,1603236996
173,camacha,33.08,68.0,68,40,17.22,PT,1603236837
174,panaba,21.28,76.8,92,29,5.88,MX,1603236996
175,mayor pablo lagerenza,-19.93,78.01,75,66,3.71,PY,1603236996
176,cayenne,4.93,82.4,78,100,5.82,GF,1603236934
177,boo,59.33,46.0,100,100,5.82,SE,1603236996
178,baruun-urt,46.68,21.58,82,45,11.77,MN,1603236996
179,caravelas,-17.71,73.29,93,91,1.32,BR,1603236930
180,bambous virieux,-20.34,75.2,73,20,9.17,MU,1603236723
181,tezu,27.92,68.85,79,7,3.31,IN,1603236878
182,atherton,53.52,57.99,81,65,3.0,GB,1603236997
183,birobidzhan,48.8,38.19,76,100,5.17,RU,1603236997
184,altamira,-3.2,78.87,70,87,0.16,BR,1603236939
185,kirgiz-miyaki,53.63,34.63,85,25,6.91,RU,1603236998
186,papetoai,-17.5,86.0,62,20,13.87,PF,1603236998
187,constitucion,-35.33,52.29,77,0,16.42,CL,1603236918
188,hasaki,35.73,61.0,82,20,9.17,JP,1603236794
189,cabo san lucas,22.89,89.6,35,5,11.41,MX,1603236755
190,toora-khem,52.47,24.44,93,99,2.37,RU,1603236890
191,east london,-33.02,58.35,68,5,7.96,ZA,1603236804
192,los llanos de aridane,28.66,75.2,50,42,11.41,ES,1603236880
193,karratha,-20.74,76.53,43,36,11.72,AU,1603236726
194,felipe carrillo puerto,19.58,75.27,96,51,2.39,MX,1603236999
195,antalaha,-14.9,72.36,87,100,11.23,MG,1603236872
196,krasnoarmeysk,51.02,39.99,64,33,3.0,RU,1603236999
197,mildura,-34.2,71.6,33,55,4.7,AU,1603236999
198,kaitangata,-46.28,55.35,49,72,0.63,NZ,1603236767
199,puerto carreno,6.19,81.79,76,73,5.1,CO,1603237000
200,severo-kurilsk,50.68,42.42,65,62,26.15,RU,1603236870
201,yellowknife,62.46,25.0,85,75,13.87,CA,1603236574
202,faanui,-16.48,78.84,81,45,15.01,PF,1603236856
203,azul,-36.78,50.92,66,1,11.68,AR,1603236988
204,jabinyanah,35.03,69.8,68,0,6.93,TN,1603237000
205,tupik,54.43,23.32,93,96,7.83,RU,1603237000
206,osypenko,46.91,43.0,100,47,7.0,UA,1603236760
207,biloela,-24.42,78.78,54,56,10.0,AU,1603236702
208,pesaro,43.9,52.0,100,34,2.24,IT,1603237001
209,shepetivka,50.19,41.56,76,51,7.0,UA,1603237001
210,prince rupert,54.32,42.8,93,90,3.36,CA,1603237001
211,djougou,9.71,74.52,74,28,2.86,BJ,1603237001
212,omboue,-1.57,76.28,89,99,6.69,GA,1603236889
213,arlit,18.74,86.54,13,0,6.89,NE,1603237002
214,mogyorod,47.6,46.0,86,76,5.82,HU,1603237002
215,agen,44.2,66.2,63,100,19.46,FR,1603236924
216,florianopolis,-27.61,72.0,94,20,8.05,BR,1603237002
217,huilong,31.81,68.0,93,100,5.95,CN,1603237002
218,bethel,41.37,63.0,93,1,4.7,US,1603236869
219,port macquarie,-31.43,73.0,53,1,1.99,AU,1603236935
220,cabo rojo,18.09,82.0,88,45,1.99,PR,1603236936
221,souillac,-20.52,75.2,73,20,9.17,MU,1603236853
222,taoudenni,22.68,80.33,18,0,9.78,ML,1603236883
223,talnakh,69.49,8.6,84,75,2.24,RU,1603236866
224,yar-sale,66.83,25.66,99,100,3.85,RU,1603236890
225,dire,12.28,76.6,63,42,2.66,ML,1603237004
226,haines junction,60.75,30.15,79,99,5.41,CA,1603237004
227,umba,66.69,31.17,96,82,8.68,RU,1603237004
228,kropotkin,45.44,50.0,59,0,4.7,RU,1603236888
229,thompson,55.74,28.4,74,90,3.36,CA,1603236718
230,shingu,33.73,66.2,63,20,4.7,JP,1603237004
231,cherskiy,68.75,22.51,97,95,6.69,RU,1603236890
232,malakal,9.53,74.08,79,33,3.02,SS,1603237005
233,port hardy,50.7,53.6,62,40,6.93,CA,1603236602
234,sidrolandia,-20.93,71.6,83,75,4.7,BR,1603237005
235,kirakira,-10.45,83.07,71,98,11.88,SB,1603237005
236,dunedin,-45.87,53.91,58,90,3.76,NZ,1603236812
237,wanning,18.8,72.77,85,90,15.37,CN,1603236873
238,alihe,50.57,38.35,76,100,0.49,CN,1603236770
239,poum,-20.23,75.34,65,0,3.31,NC,1603236728
240,vanimo,-2.67,82.42,77,98,3.6,PG,1603236897
241,stokmarknes,68.56,36.0,64,65,5.01,NO,1603237006
242,kieta,-6.22,85.62,64,56,4.23,PG,1603236814
243,ismailia,30.6,71.31,87,0,6.49,EG,1603236811
244,viedma,-40.81,59.0,31,54,1.99,AR,1603236854
245,bengkulu,-3.8,77.92,78,88,3.06,ID,1603236905
246,coihaique,-45.58,55.4,50,64,3.36,CL,1603236750
247,varca,15.22,77.0,100,90,2.24,IN,1603237007
248,jibuti,11.5,80.6,44,1,3.36,DJ,1603237007
249,inongo,-1.95,71.08,93,91,5.01,CD,1603236924
250,tasiilaq,65.61,32.0,93,100,17.22,GL,1603236880
251,bandarbeyla,9.49,78.28,72,0,8.12,SO,1603236857
252,victor harbor,-35.57,61.0,77,70,7.76,AU,1603236738
253,cockburn town,21.46,82.4,69,40,6.93,TC,1603236937
254,saint-joseph,-21.37,71.6,60,28,6.93,RE,1603236926
255,santo domingo,18.5,82.99,78,40,1.21,DO,1603236717
256,severnyy,50.68,33.8,86,0,6.71,RU,1603237008
257,salalah,17.02,78.15,43,74,1.43,OM,1603236889
258,hervey bay,-25.3,78.01,60,75,11.41,AU,1603236883
259,dali,25.7,55.98,90,99,3.51,CN,1603237009
260,saint anthony,45.02,32.0,99,90,6.93,US,1603236864
261,san ramon,37.78,90.0,13,1,5.82,US,1603236884
262,umea,63.83,36.0,90,40,5.82,SE,1603237009
263,ferme-neuve,46.7,36.81,83,96,1.34,CA,1603237009
264,wapi pathum,15.85,71.6,94,20,4.7,TH,1603237010
265,maumere,-8.62,83.59,65,83,1.48,ID,1603237010
266,damghan,36.17,52.84,43,0,1.95,IR,1603236751
267,morro bay,35.37,70.0,67,1,3.0,US,1603237010
268,henties bay,-22.12,57.0,87,0,3.78,NA,1603236896
269,beringovskiy,63.05,41.56,87,99,11.92,RU,1603236868
270,labuhan,-6.88,82.96,73,12,7.2,ID,1603237011
271,namibe,-15.2,66.7,84,61,4.41,AO,1603237011
272,berbera,10.44,83.05,54,0,5.12,SO,1603237011
273,kutum,14.2,73.31,19,0,8.23,SD,1603236719
274,paithan,19.48,74.52,87,100,2.8,IN,1603237011
275,sao joao da barra,-21.64,72.54,84,98,10.38,BR,1603237011
276,miri,4.41,75.2,94,20,4.7,MY,1603237012
277,balykshi,47.07,41.0,55,43,6.71,KZ,1603237012
278,chimbote,-9.09,63.23,83,13,7.9,PE,1603236907
279,samarai,-10.62,80.47,82,96,8.12,PG,1603236850
280,bathsheba,13.22,82.4,74,20,9.17,BB,1603236847
281,massaguet,12.48,77.0,78,0,5.82,TD,1603237012
282,nikolskoye,59.7,33.01,92,75,1.79,RU,1603236872
283,kamenka,51.32,35.74,85,10,10.89,RU,1603237013
284,alofi,-19.06,77.0,78,90,18.34,NU,1603236784
285,kruisfontein,-34.0,53.01,83,0,5.17,ZA,1603236739
286,carnarvon,-24.87,68.0,72,69,16.11,AU,1603236884
287,carutapera,-1.2,77.85,83,34,6.85,BR,1603236887
288,gorkovskiy,45.65,46.83,63,3,5.5,RU,1603237013
289,longyearbyen,78.22,23.0,79,5,8.05,SJ,1603236893
290,dakar,14.69,84.2,79,98,10.22,SN,1603237014
291,lopatino,52.62,36.16,83,34,11.45,RU,1603237014
292,palmer,42.16,64.4,88,75,1.68,US,1603236866
293,shalinskoye,55.72,36.07,91,100,10.16,RU,1603237014
294,termiz,37.22,48.2,61,0,2.24,UZ,1603237014
295,mount gambier,-37.83,55.4,82,90,10.29,AU,1603237015
296,chanika,-5.42,66.15,95,72,3.09,TZ,1603237015
297,shenyang,41.79,60.8,48,90,11.18,CN,1603237015
298,tamale,9.4,77.32,80,0,4.79,GH,1603236819
299,okhotsk,59.38,26.33,79,95,8.99,RU,1603236894
300,kazanskoye,55.64,44.56,87,100,6.98,RU,1603237015
301,varnamo,57.19,46.99,93,100,1.01,SE,1603237015
302,airai,-8.93,74.57,40,77,2.95,TL,1603236860
303,galesong,-5.32,75.2,88,20,2.24,ID,1603237016
304,shirokiy,49.76,45.79,73,100,18.66,RU,1603237016
305,alta floresta,-9.88,82.42,53,96,1.77,BR,1603236915
306,puro,12.48,82.71,80,99,15.43,PH,1603237016
307,kurilsk,45.23,46.92,54,0,6.73,RU,1603237016
308,honiara,-9.43,86.0,70,20,9.17,SB,1603237016
309,shipunovo,52.16,37.85,70,32,6.15,RU,1603237017
310,san patricio,28.02,82.4,65,20,11.41,US,1603236867
311,pultusk,52.7,48.0,72,100,11.63,PL,1603237017
312,krasnoselkup,65.7,25.14,98,100,9.89,RU,1603236725
313,kushima,31.46,68.0,77,75,4.7,JP,1603236872
314,buluang,13.31,81.43,84,99,10.89,PH,1603237017
315,rio branco,-9.97,75.2,94,90,5.82,BR,1603237017
316,darhan,49.49,27.95,80,71,1.52,MN,1603237018
317,cassilandia,-19.11,73.27,81,100,3.02,BR,1603237018
318,loei,17.42,60.85,100,100,1.81,TH,1603237018
319,havre-saint-pierre,50.23,44.6,100,90,20.8,CA,1603237018
320,naze,28.37,78.8,78,75,16.11,JP,1603236893
321,pangnirtung,66.15,26.6,100,90,2.06,CA,1603236735
322,gold coast,-28.0,78.01,49,6,5.82,AU,1603237019
323,ngaoundere,7.32,65.5,71,14,2.17,CM,1603237019
324,hualmay,-11.1,63.16,82,46,6.6,PE,1603236761
325,lagoa,39.05,62.89,66,59,26.62,PT,1603236751
326,lasa,46.62,50.0,100,40,3.11,IT,1603236904
327,svetlogorsk,52.63,39.85,88,99,5.95,BY,1603236755
328,sterling,39.01,68.0,68,40,4.7,US,1603237020
329,aliaga,15.52,77.0,94,90,16.11,PH,1603237020
330,mudgee,-32.59,64.0,77,90,5.82,AU,1603237020
331,alice springs,-23.7,82.4,39,75,9.17,AU,1603236802
332,marawi,8.0,78.01,88,100,4.0,PH,1603236824
333,letnik,46.01,47.23,64,9,7.0,RU,1603237020
334,ajdabiya,30.76,66.02,73,0,10.25,LY,1603237021
335,kunnamangalam,11.3,75.2,94,90,3.36,IN,1603237021
336,teya,60.38,29.07,97,100,3.76,RU,1603236749
337,ujiie,36.68,57.2,76,20,6.93,JP,1603237021
338,tautira,-17.73,86.0,62,20,13.87,PF,1603236877
339,dumas,35.87,82.4,23,1,9.1,US,1603237021
340,iquitos,-3.75,82.4,83,40,2.84,PE,1603236846
341,rockhampton,-23.38,80.6,54,75,6.93,AU,1603236907
342,mashhad,36.3,50.0,43,0,4.7,IR,1603237022
343,kindu,-2.95,69.1,97,94,2.15,CD,1603236904
344,cilegon,-6.02,77.0,88,20,5.82,ID,1603237022
345,asau,46.43,37.4,93,0,4.7,RO,1603236884
346,hofn,64.25,36.1,75,1,8.1,IS,1603237022
347,pisco,-13.7,66.0,77,2,13.87,PE,1603236910
348,nishihara,26.18,80.6,74,90,17.22,JP,1603237023
349,aranos,-24.13,60.76,32,1,9.62,NA,1603237023
350,truth or consequences,33.13,86.0,8,1,5.82,US,1603237023
351,alappuzha,9.49,78.46,84,100,6.85,IN,1603237023
352,ancud,-41.87,48.99,66,0,6.93,CL,1603236731
353,pokhara,28.23,64.42,50,15,5.75,NP,1603237023
354,sangar,63.92,16.81,95,100,9.01,RU,1603237024
355,melfort,52.87,30.2,50,75,5.82,CA,1603237024
356,provideniya,64.38,42.8,87,90,15.66,RU,1603236859
357,kamina,-8.74,64.69,96,81,3.71,CD,1603237024
